Time,Condition,Response,Clicktime
0,arrayAverageTD_B.png,,
1,arrayAverageTD_B.png,,
2,arrayAverageTD_B.png,,
3,arrayAverageTD_B.png,,
4,arrayAverageTD_B.png,,
5,arrayAverageTD_B.png,,
6,arrayAverageTD_B.png,,
7,arrayAverageTD_B.png,,
8,arrayAverageTD_B.png,,
9,arrayAverageTD_B.png,,
10,arrayAverageTD_B.png,,
11,arrayAverageTD_B.png,,
12,arrayAverageTD_B.png,,
13,arrayAverageTD_B.png,,
14,arrayAverageTD_B.png,,
15,arrayAverageTD_B.png,,
16,arrayAverageTD_B.png,,
17,arrayAverageTD_B.png,,
18,arrayAverageTD_B.png,,
19,arrayAverageTD_B.png,,
20,arrayAverageTD_B.png,,
21,arrayAverageTD_B.png,,
22,arrayAverageTD_B.png,,
23,arrayAverageTD_B.png,,
24,arrayAverageTD_B.png,,
25,arrayAverageTD_B.png,,
26,arrayAverageTD_B.png,,
27,arrayAverageTD_B.png,,
28,arrayAverageTD_B.png,,
29,arrayAverageTD_B.png,,
30,arrayAverageTD_B.png,,
31,arrayAverageTD_B.png,,
32,arrayAverageTD_B.png,,
33,arrayAverageTD_B.png,,
34,arrayAverageTD_B.png,,
35,arrayAverageTD_B.png,,
36,arrayAverageTD_B.png,,
37,arrayAverageTD_B.png,,
38,arrayAverageTD_B.png,,
39,arrayAverageTD_B.png,,
40,arrayAverageTD_B.png,,
41,arrayAverageTD_B.png,,
42,arrayAverageTD_B.png,,
43,arrayAverageTD_B.png,,
44,arrayAverageTD_B.png,,
45,arrayAverageTD_B.png,,
46,arrayAverageTD_B.png,,
47,arrayAverageTD_B.png,,
48,arrayAverageTD_B.png,,
49,arrayAverageTD_B.png,,
50,arrayAverageTD_B.png,,
51,arrayAverageTD_B.png,,
52,arrayAverageTD_B.png,,
53,arrayAverageTD_B.png,,
54,arrayAverageTD_B.png,,
55,arrayAverageTD_B.png,,
56,arrayAverageTD_B.png,,
57,arrayAverageTD_B.png,,
58,arrayAverageTD_B.png,,
59,arrayAverageTD_B.png,,
60,arrayAverageTD_B.png,,
61,arrayAverageTD_B.png,,
62,arrayAverageTD_B.png,,
63,arrayAverageTD_B.png,,
64,arrayAverageTD_B.png,,
65,arrayAverageTD_B.png,,
66,arrayAverageTD_B.png,,
67,arrayAverageTD_B.png,,
68,arrayAverageTD_B.png,,
69,arrayAverageTD_B.png,,
70,arrayAverageTD_B.png,,
71,arrayAverageTD_B.png,,
72,arrayAverageTD_B.png,,
73,arrayAverageTD_B.png,,
74,arrayAverageTD_B.png,,
75,arrayAverageTD_B.png,,
76,arrayAverageTD_B.png,,
77,arrayAverageTD_B.png,,
78,arrayAverageTD_B.png,,
79,arrayAverageTD_B.png,,
80,arrayAverageTD_B.png,,
81,arrayAverageTD_B.png,,
82,arrayAverageTD_B.png,,
83,arrayAverageTD_B.png,,
84,arrayAverageTD_B.png,,
85,arrayAverageTD_B.png,,
86,arrayAverageTD_B.png,,
87,arrayAverageTD_B.png,,
88,arrayAverageTD_B.png,,
89,arrayAverageTD_B.png,,
90,arrayAverageTD_B.png,,
91,arrayAverageTD_B.png,,
92,arrayAverageTD_B.png,,
93,arrayAverageTD_B.png,,
94,arrayAverageTD_B.png,,
95,arrayAverageTD_B.png,,
96,arrayAverageTD_B.png,,
97,arrayAverageTD_B.png,,
98,arrayAverageTD_B.png,,
99,arrayAverageTD_B.png,,
100,arrayAverageTD_B.png,,
101,arrayAverageTD_B.png,,
102,arrayAverageTD_B.png,,
103,arrayAverageTD_B.png,,
104,arrayAverageTD_B.png,,
105,arrayAverageTD_B.png,,
106,arrayAverageTD_B.png,,
107,arrayAverageTD_B.png,,
108,arrayAverageTD_B.png,,
109,arrayAverageTD_B.png,,
110,arrayAverageTD_B.png,,
111,arrayAverageTD_B.png,,
112,arrayAverageTD_B.png,,
113,arrayAverageTD_B.png,,
114,arrayAverageTD_B.png,,
115,arrayAverageTD_B.png,,
116,arrayAverageTD_B.png,,
117,arrayAverageTD_B.png,,
118,arrayAverageTD_B.png,,
119,arrayAverageTD_B.png,,
120,arrayAverageTD_B.png,,
121,arrayAverageTD_B.png,,
122,arrayAverageTD_B.png,,
123,arrayAverageTD_B.png,,
124,arrayAverageTD_B.png,,
125,arrayAverageTD_B.png,,
126,arrayAverageTD_B.png,,
127,arrayAverageTD_B.png,,
128,arrayAverageTD_B.png,,
129,arrayAverageTD_B.png,,
130,arrayAverageTD_B.png,,
131,arrayAverageTD_B.png,,
132,arrayAverageTD_B.png,,
133,arrayAverageTD_B.png,,
134,arrayAverageTD_B.png,,
135,arrayAverageTD_B.png,,
136,arrayAverageTD_B.png,,
137,arrayAverageTD_B.png,,
138,arrayAverageTD_B.png,,
139,arrayAverageTD_B.png,,
140,arrayAverageTD_B.png,,
141,arrayAverageTD_B.png,,
142,arrayAverageTD_B.png,,
143,arrayAverageTD_B.png,,
144,arrayAverageTD_B.png,,
145,arrayAverageTD_B.png,,
146,arrayAverageTD_B.png,,
147,arrayAverageTD_B.png,,
148,arrayAverageTD_B.png,,
149,arrayAverageTD_B.png,,
150,arrayAverageTD_B.png,,
151,arrayAverageTD_B.png,,
152,arrayAverageTD_B.png,,
153,arrayAverageTD_B.png,,
154,arrayAverageTD_B.png,,
155,arrayAverageTD_B.png,,
156,arrayAverageTD_B.png,,
157,arrayAverageTD_B.png,,
158,arrayAverageTD_B.png,,
159,arrayAverageTD_B.png,,
160,arrayAverageTD_B.png,,
161,arrayAverageTD_B.png,,
162,arrayAverageTD_B.png,,
163,arrayAverageTD_B.png,,
164,arrayAverageTD_B.png,,
165,arrayAverageTD_B.png,,
166,arrayAverageTD_B.png,,
167,arrayAverageTD_B.png,,
168,arrayAverageTD_B.png,,
169,arrayAverageTD_B.png,,
170,arrayAverageTD_B.png,,
171,arrayAverageTD_B.png,,
172,arrayAverageTD_B.png,,
173,arrayAverageTD_B.png,,
174,arrayAverageTD_B.png,,
175,arrayAverageTD_B.png,,
176,arrayAverageTD_B.png,,
177,arrayAverageTD_B.png,,
178,arrayAverageTD_B.png,,
179,arrayAverageTD_B.png,,
180,arrayAverageTD_B.png,,
181,arrayAverageTD_B.png,,
182,arrayAverageTD_B.png,,
183,arrayAverageTD_B.png,,
184,arrayAverageTD_B.png,,
185,arrayAverageTD_B.png,,
186,arrayAverageTD_B.png,,
187,arrayAverageTD_B.png,,
188,arrayAverageTD_B.png,,
189,arrayAverageTD_B.png,,
190,arrayAverageTD_B.png,,
191,arrayAverageTD_B.png,,
192,arrayAverageTD_B.png,,
193,arrayAverageTD_B.png,,
194,arrayAverageTD_B.png,,
195,arrayAverageTD_B.png,,
196,arrayAverageTD_B.png,,
197,arrayAverageTD_B.png,,
198,arrayAverageTD_B.png,,
199,arrayAverageTD_B.png,,
200,arrayAverageTD_B.png,,
201,arrayAverageTD_B.png,,
202,arrayAverageTD_B.png,,
203,arrayAverageTD_B.png,,
204,arrayAverageTD_B.png,,
205,arrayAverageTD_B.png,,
206,arrayAverageTD_B.png,,
207,arrayAverageTD_B.png,,
208,arrayAverageTD_B.png,,
209,arrayAverageTD_B.png,,
210,arrayAverageTD_B.png,,
211,arrayAverageTD_B.png,,
212,arrayAverageTD_B.png,,
213,arrayAverageTD_B.png,,
214,arrayAverageTD_B.png,,
215,arrayAverageTD_B.png,,
216,arrayAverageTD_B.png,,
217,arrayAverageTD_B.png,,
218,arrayAverageTD_B.png,,
219,arrayAverageTD_B.png,,
220,arrayAverageTD_B.png,,
221,arrayAverageTD_B.png,,
222,arrayAverageTD_B.png,,
223,arrayAverageTD_B.png,,
224,arrayAverageTD_B.png,,
225,arrayAverageTD_B.png,,
