Time,eeg
0,1641.1
1,1637.9
2,1636
3,1631.7
4,1635.7
5,1633.3
6,1640.6
7,1631.6
8,1631.7
9,1634.5
10,1631.8
11,1626.7
12,1629.5
13,1630.3
14,1628
15,1627.6
16,1628.2
17,1624.9
18,1622.6
19,1625.7
20,1624.9
21,1625.3
22,1621.2
23,1629.8
24,1630
25,1627
26,1628
27,1628.8
28,1630.7
29,1624.4
30,1626.9
31,1620
32,1622.9
33,1622.9
34,1622.5
35,1616.2
36,1613
37,1609.5
38,1606.6
39,1603.5
40,1590.5
41,1575.9
42,1553.4
43,1530.8
44,1514.2
45,1513.4
46,1497.4
47,1455
48,1411.2
49,1380.9
50,1354.3
51,1318.9
52,1288.7
53,1261.9
54,1232.7
55,1208.6
56,1181.1
57,1162.4
58,1139.1
59,1115.1
60,1093.8
61,1078.7
62,1060.2
63,1045.3
64,1026.2
65,1007.7
66,989.9
67,971
68,956.8
69,943.7
70,932
71,918.3
72,899.5
73,885.7
74,878.1
75,865.2
76,858.5
77,849.6
78,841.7
79,831.3
80,823.2
81,815.8
82,812.1
83,801.9
84,793.3
85,787.1
86,783.8
87,779.5
88,774
89,766.9
90,762.6
91,755.8
92,758.9
93,752.7
94,746.3
95,741.6
96,741.3
97,737.8
98,733.6
99,729.7
100,728.2
101,726.6
102,726.6
103,727.5
104,723.3
105,721.8
106,719.8
107,716.2
108,710.4
109,709.7
110,710.4
111,710.5
112,706.4
113,706.3
114,704.3
115,705.6
116,707.8
117,707.2
118,705.7
119,707.5
120,710.7
121,712.5
122,710.3
123,713.7
124,721.9
125,717.2
126,721.9
127,722.1
128,723.7
129,726.5
130,729.3
131,733.4
132,736.8
133,742.7
134,748.6
135,748.6
136,750.5
137,749.8
138,751.2
139,753.8
140,752.6
141,756.1
142,756.5
143,760.7
144,761.5
145,762.2
146,764.2
147,767.8
148,767.7
149,765.9
150,766.6
151,767.2
152,766.9
153,767.5
154,770.8
155,768.6
156,767.3
157,766.5
158,765.8
159,766.4
160,765.7
161,768.6
162,769.8
163,769.1
164,771.7
165,773.5
166,772.7
167,773.8
168,777.1
169,774.6
170,775.1
171,776.6
172,774.2
173,774.6
174,774.4
175,776.9
176,777.3
177,784
178,780.3
179,781.1
180,781.1
181,781.4
182,780.5
183,783.1
184,787.2
185,786.3
186,785.4
187,786.4
188,784.5
189,786.2
190,785.5
191,783.5
192,785.1
193,788.1
194,783.1
195,783.2
196,780.8
197,784.1
198,784.8
199,784.8
200,781.7
201,783.5
202,782.9
203,778.8
204,778.1
205,777.3
206,778.1
207,778.5
208,779.2
209,778.9
210,777.4
211,778.4
212,779.9
213,780.4
214,774.3
215,780.2
216,782.4
217,780.7
218,777.7
219,777.9
220,781.6
221,783.4
222,782.6
223,782.4
224,785.5
225,783.3
226,786.1
227,785.9
228,786.5
229,788.3
230,791.2
231,790.5
232,791.7
233,789.5
234,791.3
235,790.6
236,792.9
237,788.9
238,792.1
239,797.8
240,798.1
241,796.5
242,793.2
243,797.3
244,771.5
245,685
246,-546.2
247,-545.6
248,-525.8
249,826
250,815.3
251,807.1
252,808.1
253,814.2
254,818.3
255,817.9
256,821.5
257,821.3
258,822.5
259,829.2
260,834.6
261,836.4
262,836.4
263,837.7
264,840.3
265,847.6
266,846.8
267,849.5
268,851.8
269,855.9
270,860.1
271,862.8
272,864.4
273,869.2
274,872.2
275,873.3
276,876.8
277,880.3
278,883.6
279,886.1
280,884
281,886.6
282,888.2
283,890.9
284,889.3
285,887.6
286,886.4
287,884.3
288,876.8
289,875
290,873.2
291,869
292,867.6
293,861.2
294,856.7
295,851.5
296,845.3
297,838.9
298,833.7
299,831.1
300,828.3
301,820.9
302,821.3
303,813.7
304,812.2
305,806.5
306,806.1
307,802.5
308,793.7
309,783.9
310,781.2
311,780.1
312,777.6
313,773.3
314,770.5
315,764.7
316,760.8
317,760.5
318,760.3
319,759.8
320,758.6
321,757.1
322,754
323,751.6
324,754.4
325,757
326,755.4
327,752.7
328,752.5
329,749.6
330,746.6
331,746.8
332,745.9
333,744.4
334,741.9
335,744.3
336,737.6
337,735.9
338,736.5
339,734.1
340,732.7
341,731.4
342,732.1
343,730.3
344,732.1
345,731.9
346,734.7
347,741.2
348,736.3
349,734.3
350,735.7
351,738.2
352,742.7
353,741.3
354,745.5
355,745
356,750.9
357,753.3
358,755.2
359,763.5
360,765.5
361,771.7
362,768.8
363,771.5
364,777.1
365,785.7
366,786.4
367,793
368,792.8
369,797.3
370,800.2
371,803
372,808.2
373,807.5
374,815.2
375,820.1
