Time,EyeTracking_X,EyeTracking_Y,Gaze
0,644.84,478.6,1
1,643.51,478.56,1
2,643.46,479.13,1
3,643.03,476.31,1
4,643.58,478.42,1
5,642.55,480.04,1
6,643.36,480.48,1
7,641.75,480.17,1
8,643.94,481.25,1
9,644.06,480.21,1
10,643.94,480.01,1
11,641.96,482.65,1
12,643.22,482.61,1
13,642.36,483.02,1
14,641.72,483.92,1
15,642.05,483.72,1
16,642.81,486.74,1
17,640.9,486.12,1
18,640.95,488.73,1
19,642.64,486.1,1
20,640.64,485.91,1
21,640.29,484.37,1
22,652.13,484.68,1
23,676.74,479.19,1
24,662.67,471.27,1
25,664.52,476.17,1
26,663.62,479.7,1
27,664.85,479.81,1
28,662.88,477.6,1
29,664.01,477.27,1
30,663.36,478.22,1
31,663.39,479.74,1
32,663.44,477.46,1
33,662.08,476.53,1
34,662.75,478.86,1
35,662.26,477.17,1
36,660.4,475.5,1
37,661.36,477.04,1
38,660.48,474.38,1
39,657.84,473.37,1
40,657.5,476.58,1
41,658.23,479.43,1
42,655.84,481.26,1
43,652.14,485.45,1
44,556.08,414.12,1
45,484.35,282.81,1
46,484.6,267.8,1
47,495.43,302.81,0
48,491.71,301.1,0
49,491.55,300.28,0
50,492.31,301.86,0
51,490.36,306.48,0
52,489.85,310.11,0
53,488.62,317.77,0
54,487.72,319.18,1
55,488.06,323.16,1
56,488.37,325.9,1
57,486.59,325.95,1
58,486.99,329.6,1
59,486.88,329.85,1
60,488.53,330.91,1
61,489.04,328.72,1
62,488.77,329.91,1
63,488.11,326.8,1
64,489.38,329.98,1
65,489.14,329.61,1
66,491.25,330.59,1
67,490.62,332.62,1
68,492.11,331.02,1
69,490.52,334.32,1
70,493.29,338.48,1
71,477.23,328.76,1
72,431.29,248.43,1
73,411.33,180.21,0
74,416.78,164.9,0
75,421.22,176.03,0
76,421.21,177.5,0
77,420.98,175.2,0
78,421.14,178.7,0
79,421.75,176.44,0
80,420.77,177.94,0
81,423.25,178.49,0
82,425.25,180.25,1
83,412.38,172.51,1
84,387.4,124.29,1
85,393.03,125.27,1
86,396.92,129.02,1
87,395.75,129.07,1
88,396.67,126,1
89,397.23,128.01,1
90,394.77,126.88,1
91,395.48,127.6,1
92,395.53,127.81,1
93,397.28,128.03,1
94,397.38,130.45,1
95,398.85,129.22,1
96,400.5,130.52,1
97,400.84,130.74,1
98,398.4,130.48,1
99,397.64,131.04,1
100,396.98,130.24,1
101,400.75,127.16,1
102,400.93,130.31,1
103,400.51,132.15,1
104,403.25,131.11,1
105,401.28,132.03,1
106,437.23,132.1,1
107,560.63,128.7,1
108,646.94,130.95,0
109,696.36,131.36,0
110,696.54,132.02,0
111,696.57,131.5,0
112,700,130.37,0
113,700.85,130.2,0
114,700.61,130.12,0
115,702.33,127.9,0
116,703.54,130.05,0
117,703.31,129.84,1
118,704.44,129.26,1
119,706.11,129.06,1
120,707.57,127.56,1
121,707.21,124.87,1
122,709.44,126.53,1
123,709.64,125.12,1
124,710.34,121.75,1
125,709.69,124.29,1
126,709.19,125.28,1
127,709.92,123.86,1
128,709.53,122.35,1
129,711.45,121.18,1
130,710.79,119.47,1
131,712.64,117.09,1
132,774.91,102.68,1
133,805.44,94.53,1
134,853.18,90.59,0
135,849.26,95.93,0
136,844.5,91.78,0
137,846.02,91.45,0
138,845.78,91.96,0
139,846.1,86.6,0
140,846.21,86.78,0
141,847.29,88.6,0
142,847.69,89.28,1
143,847.94,87.62,1
144,847.35,87.73,1
145,847.25,82.1,1
146,847.48,88.38,1
147,847.89,84.9,1
148,847.07,84.36,1
149,847.19,84.05,1
150,848.31,84.65,1
151,847.19,82.42,1
152,847.59,84.48,1
153,878.49,84.79,1
154,942.31,97.42,1
155,936.63,97.35,1
156,930.26,97.13,1
157,929.16,97.23,1
158,931.28,98.81,1
159,929.91,97.53,1
160,930.64,98.66,1
161,931.24,94.94,1
162,931.36,96.49,1
163,932.35,99.79,1
164,931.02,97.59,1
165,929.7,97.74,1
166,931.11,96.34,1
167,931.78,93.48,1
168,932.32,91.6,1
169,933.89,90.8,1
170,933.6,90.65,1
171,933.84,91.04,1
172,934.43,92.28,1
173,934.44,91.94,1
174,934.94,92.41,1
175,936.05,90.31,1
176,934.58,92.73,1
177,937.54,92.84,1
178,976.14,91.62,1
179,979.88,91.73,1
180,973.36,90.85,1
181,975.52,94.73,1
182,976.4,95.18,1
183,975.13,94.56,1
184,973.7,91.46,1
185,973.36,89.82,1
186,973.34,91.39,1
187,972.58,92.02,1
188,971.79,91.37,1
189,973.19,91.7,1
190,973.33,91.1,1
191,972.87,90.93,1
192,974.31,91.5,1
193,971.82,91.69,1
194,973.79,93.75,1
195,973.16,92.13,1
196,974.5,91.13,1
197,975.54,92.59,1
198,976.52,93.19,1
199,977.34,96.07,1
200,977.3,93.98,1
201,975.45,94.14,1
202,975.51,94.2,1
203,976.52,93.58,1
204,975.55,91.35,1
205,976.38,94.82,1
206,976.37,96.83,1
207,976.85,95.82,1
208,978,96.98,1
209,976.43,100.46,1
210,975.71,97.14,1
211,973.8,99.64,1
212,974.06,97.73,1
213,974.23,95.94,1
214,976.33,96.62,1
215,975.67,95.06,1
216,975.58,95.72,1
217,978.79,95.9,1
218,978.54,98.55,1
219,988.16,97.43,1
220,980.03,92.45,1
221,980.6,91.58,1
222,981.4,94.2,1
223,981.1,92.6,1
224,979.59,92.13,1
225,979.6,90.22,1
226,980.3,90.92,1
227,980.96,92.26,1
228,979.62,93.81,1
229,980.98,94.12,1
230,981.78,91.68,1
231,979.52,91.63,1
232,978.89,90.95,1
233,979,91.19,1
234,977.4,92.16,1
235,979.34,93.63,1
236,977.12,93.28,1
237,977.63,93.67,1
238,977.02,90.82,1
239,978.93,92.84,1
240,978.41,90.34,1
241,978.85,92.94,1
242,976.65,94.47,1
243,961.86,80.64,1
244,848.92,100.87,1
245,859.6,131,0
246,,,0
247,,,
248,,,
249,721.6,283.2,0
250,729.91,273.47,0
251,752.13,312.67,0
252,754.43,332.68,0
253,755.91,334.93,0
254,758.2,332.72,0
255,757.82,328.41,0
256,755.53,323.31,0
257,753.22,329.43,0
258,752.93,326.67,0
259,752.73,326.4,1
260,756.05,326.06,1
261,757.81,325.42,1
262,757.38,328.25,1
263,756.79,327.71,1
264,755.3,327.06,1
265,756.37,327.1,1
266,755.8,330,1
267,755.71,329.4,1
268,756.08,328.56,1
269,755.14,330.27,1
270,721.38,338.37,1
271,673.54,348.31,1
272,672.52,347.86,1
273,677.16,347.82,1
274,676.31,348.19,1
275,674.65,346.77,1
276,676.46,345.44,1
277,675.5,345.53,1
278,674.99,345.55,1
279,674.61,345.54,1
280,675.88,344.3,1
281,675.34,344.38,1
282,675.86,345.01,1
283,676.94,344.97,1
284,675.72,344.71,1
285,676.96,345.1,1
286,677.09,343.36,1
287,678.48,344.96,1
288,677.6,348.74,1
289,678.67,347.84,1
290,656.36,352.76,1
291,576.35,355.1,1
292,559.83,350.28,0
293,571.5,354.01,0
294,570.45,352.55,0
295,569.93,351.1,0
296,570.67,354.3,0
297,569.79,354.81,0
298,567.21,357.9,0
299,568.1,357.89,0
300,567.57,359.53,1
301,568.21,358.88,1
302,568.96,360.31,1
303,568.24,359.71,1
304,567.59,359.62,1
305,570,362.31,1
306,569.1,358.41,1
307,568.77,362.43,1
308,605.37,348.16,1
309,723.93,243.36,1
310,827.05,136.28,0
311,917.67,122.37,0
312,932.38,121.34,0
313,929.51,117.1,0
314,934.3,109.43,0
315,934.54,111.78,0
316,933.99,110.33,0
317,933.82,109.16,0
318,934.92,111.93,0
319,936.5,112.74,1
320,934.82,113.22,1
321,934.22,114.17,1
322,934.79,114.2,1
323,936.31,115.35,1
324,938.01,116.73,1
325,938.88,118.29,1
326,938.09,116.17,1
327,937.46,116.78,1
328,939.37,118.81,1
329,936.25,117.01,1
330,936.4,117.88,1
331,936.81,116.52,1
332,937.05,114.87,1
333,935.57,114.81,1
334,937.17,115.7,1
335,936.23,114.2,1
336,936.77,115.82,1
337,937.33,115.2,1
338,934.06,113.48,1
339,937.22,115.93,1
340,936.37,114.58,1
341,938.02,116.8,1
342,938.87,117.43,1
343,938.94,117.65,1
344,937.63,115.86,1
345,938.02,114.79,1
346,937.24,112.43,1
347,948.15,110.77,1
348,970.09,109.51,1
349,958,113.21,1
350,958.39,112.74,1
351,959.53,110.63,1
352,960.64,108.94,1
353,961.24,108.27,1
354,960.07,110.98,1
355,960.91,109.86,1
356,960.53,108.9,1
357,962.57,107.74,1
358,963.4,109.13,1
359,963.14,107.68,1
360,963.28,105.34,1
361,964.02,103.98,1
362,965.03,107.59,1
363,964.35,105.47,1
364,963.65,102.64,1
365,963.68,98.82,1
366,963.08,99.21,1
367,963.56,97.26,1
368,964.51,98.08,1
369,964.88,94.52,1
370,966.7,95.63,1
371,966.88,94.81,1
372,964.9,93.33,1
373,964.53,91.59,1
374,966.56,91.67,1
375,964.93,88.39,1
376,1005.84,89.68,1
377,1022.56,96.12,1
378,1003.35,90.18,0
379,1006.46,91.73,0
380,1005.64,87.89,0
381,1005.1,87.17,0
382,1004.94,84.09,0
383,1005.39,84.81,0
384,1004.34,82.63,0
385,1003.06,83.64,0
386,1003.94,81.19,1
387,1002.34,77.83,1
388,1001.01,74.3,1
389,999.84,75.4,1
390,998,70.79,1
391,998.3,75.13,1
392,994.66,72.08,1
393,993.91,70.21,1
394,992.69,68.08,1
395,991.45,68.92,1
396,991.56,66.71,1
397,991.34,66.01,1
398,989.76,65.58,1
399,990.21,65,1
400,988.54,62.92,1
401,988.13,65.92,1
402,987.22,64.36,1
403,987.18,66.02,1
404,986.84,65.94,1
405,987,67.81,1
406,988.92,69.89,1
407,986.01,71.89,1
408,965.83,77.38,1
409,863.93,96.14,1
410,844.82,59.24,0
411,802.12,40.06,0
412,722.53,75.32,0
413,681.87,101.7,0
414,724.1,97.37,0
415,738.1,98.08,0
416,729.26,97.24,0
417,726.43,95.12,0
418,726.83,91.32,0
419,725.95,89.9,0
420,726.69,91.7,0
421,727.33,88.7,0
422,725.63,88.43,1
423,726.77,87.79,1
424,725.77,85.58,1
425,723.93,83.88,1
426,722.71,86.25,1
427,723.37,82.26,1
428,723.85,79.79,1
429,724.91,77.35,1
430,724.11,78.73,1
431,722.12,78.11,1
432,721.91,78.85,1
433,721.97,79.51,1
434,721.46,80.59,1
435,721.9,80.7,1
436,722.48,80.5,1
437,722.27,80.57,1
438,724.15,80.23,1
439,721.48,80.83,1
440,720.11,82.55,1
441,719.83,82.1,1
442,720.5,81.66,1
443,722.44,83.06,1
444,768.97,89.91,1
445,777.36,100.68,1
446,764.79,97.37,1
447,767.29,101.41,1
448,767.63,101.8,1
449,767.28,99.04,1
450,768.37,102.32,1
451,768.4,103.4,1
452,769.59,102.83,1
453,768.05,102.73,1
454,769.13,102.32,1
455,758.35,108.36,1
456,642.93,190.4,1
457,501.36,323.28,1
458,454.84,358.6,0
459,519.62,377.98,0
460,500.37,388.9,0
461,493.46,394,0
462,505.77,397.78,0
463,510.66,394.3,0
464,511.77,394.34,0
465,510.87,392.08,0
466,509.3,391.83,0
467,509.11,391.85,0
468,509.58,388.42,1
469,510.66,389.19,1
470,511.27,388.76,1
471,511.12,387.51,1
472,512.27,387.12,1
473,512.15,389.45,1
474,511.52,388.06,1
475,511.69,388.64,1
476,512.42,387.92,1
477,512.92,387.65,1
478,512.53,389.13,1
479,513.11,389.13,1
480,512.02,387.87,1
481,512.77,389.79,1
482,513.08,387.33,1
483,512.45,388.11,1
484,514.19,386.97,1
485,511.41,388.81,1
486,512.79,387.31,1
487,513.17,387.87,1
488,513.93,388.07,1
489,486.19,398,1
490,468.26,411.85,1
491,479.03,412.6,1
492,477.55,411.76,1
493,476.49,409.97,1
494,477.87,413.51,1
495,479.06,410.1,1
496,478.74,408.68,1
497,479.3,404.92,1
498,477.5,407.23,1
499,478.04,407.25,1
500,477.64,407.64,1
501,476.19,408.1,1
502,477.62,407.5,1
503,478.52,405.82,1
504,477,405.66,1
505,478.49,406.98,1
506,479.93,405.92,1
507,479.06,407.22,1
508,478.36,404.5,1
509,478.41,403.65,1
510,478.82,406.69,1
511,478.81,406.24,1
512,478.56,405.24,1
513,477.7,408.61,1
514,478.54,407.7,1
515,479.16,408.28,1
516,483.84,410.77,1
517,547.97,435.64,1
518,584.7,471.55,1
519,564.14,462.48,0
520,565.05,461.67,0
521,567.68,467.03,0
522,568.42,465.78,0
523,568.84,466.6,0
524,569.16,467.53,0
525,567.82,467.5,0
526,567.07,466.3,0
527,567.63,466.58,1
528,567.9,466.97,1
529,567.47,465.26,1
530,567.18,466.01,1
531,567.35,465.95,1
532,568.33,465.44,1
533,568.43,465.43,1
534,568.62,466.2,1
535,563.75,468.71,1
536,532.16,491.6,1
537,532.55,501.36,1
538,535.98,495.24,1
539,534.92,491.97,1
540,534,494.77,1
541,535.03,495.27,1
542,536.59,496.95,1
543,535.14,496,1
544,537.07,495.81,1
545,535.6,495.51,1
546,536.22,497.73,1
547,536.07,495.65,1
548,536.13,498.22,1
549,536.38,495.25,1
550,534.79,499.23,1
551,535.4,497.93,1
552,535.85,495.12,1
553,536.96,494.58,1
554,537.06,490.86,1
555,537.76,493.16,1
556,536.33,493.84,1
557,536.21,493.76,1
558,535.43,493.65,1
559,536.43,496.21,1
560,538.27,494.75,1
561,537.65,491.76,1
562,556.03,494.06,1
563,643.12,507.93,1
564,684.13,512.63,0
565,706.53,516.41,0
566,697.91,515.96,0
567,697.55,516.51,0
568,700.78,514.75,0
569,701.33,515.73,0
570,699.7,520.18,0
571,700.77,520.18,0
572,700.89,520.08,0
573,701.85,519.02,1
574,700.35,520.18,1
575,701.03,521.44,1
576,700.75,519.52,1
577,700.97,516.58,1
578,699.55,518.4,1
579,700.32,518.9,1
580,701.09,519.89,1
581,700.86,520.65,1
582,700.23,522.14,1
583,699.31,519.66,1
584,700.22,522.5,1
585,700.12,521.05,1
586,699.24,520.78,1
587,700.24,520.67,1
588,706.3,522.94,1
589,742.24,535.43,1
590,739.84,537.45,1
