Time,PupilDilation,Respiration,HeartRate
0,1641.1,-368.5,-256
1,1637.9,-223.8,-204.8
2,1636,78,230.4
3,1631.7,285.2,-51.2
4,1635.7,500.6,-486.4
5,1633.3,742.2,-179.2
6,1640.6,1052.8,512
7,1631.6,1174.4,460.8
8,1631.7,1263.6,25.6
9,1634.5,1325,256
10,1631.8,1315,230.4
11,1626.7,1281.2,-25.6
12,1629.5,1214.8,-179.2
13,1630.3,1089.4,486.4
14,1628,1005.6,230.4
15,1627.6,918.2,0
16,1628.2,811.2,25.6
17,1624.9,650.6,230.4
18,1622.6,564.6,-25.6
19,1625.7,482.8,-281.6
20,1624.9,387.8,-460.8
21,1625.3,252.6,0
22,1621.2,180.6,-51.2
23,1629.8,108.6,-512
24,1630,21.4,-460.8
25,1627,-111.4,0
26,1628,-182.8,-51.2
27,1628.8,-261.4,-435.2
28,1630.7,-364.2,256
29,1624.4,-407.6,230.4
30,1626.9,-438.8,-51.2
31,1620,-461.8,-512
32,1622.9,-476.2,-512
33,1622.9,-471.2,-537.6
34,1622.5,-461.8,-768
35,1616.2,-447,-740.8
36,1613,-419.8,-496
37,1609.5,-404,-520.8
38,1606.6,-389.6,-744
39,1603.5,-375.6,-719.2
40,1590.5,-356.4,-520.8
41,1575.9,-348.6,-768.8
42,1553.4,-342.6,-967.2
43,1530.8,-341.6,-719.2
44,1514.2,-345.8,-496
45,1513.4,-355.6,-520.8
46,1497.4,-372.8,-719.2
47,1455,-403.8,-471.2
48,1411.2,-422.6,-272.8
49,1380.9,-440,-520.8
50,1354.3,-456,-719.2
51,1318.9,-473,-520.8
52,1288.7,-477.6,-744
53,1261.9,-480.8,-744
54,1232.7,-486.6,-744
55,1208.6,-499,-719.2
56,1181.1,-509.2,-520.8
57,1162.4,-519.8,-744
58,1139.1,-525.4,-669.6
59,1115.1,-512.2,-49.6
60,1093.8,-472.4,-545.6
61,1078.7,-401.8,-992
62,1060.2,-259.2,-967.2
63,1045.3,27.8,-719.2
64,1026.2,229.6,-520.8
65,1007.7,481.8,-719.2
66,989.9,843.2,-471.2
67,971,1007.8,-248
68,956.8,1139.4,-272.8
69,943.7,1239.6,-446.4
70,932,1313.8,0
71,918.3,1308,0
72,899.5,1279.4,-24.8
73,885.7,1221,-198.4
74,878.1,1110.4,248
75,865.2,1036.6,248
76,858.5,958.8,223.2
77,849.6,859.4,24.8
78,841.7,703.4,248
79,831.3,615.4,223.2
80,823.2,527.8,0
81,815.8,427.2,49.6
82,812.1,285,471.2
83,801.9,210.4,223.2
84,793.3,124,24.8
85,787.1,-2,248
86,783.8,-72.2,248
87,779.5,-142.2,248
88,774,-218.4,272.8
89,766.9,-321.6,496
90,762.6,-367.8,496
91,755.8,-405,471.2
92,758.9,-434.6,297.6
93,752.7,-457.4,744
94,746.3,-458.4,744
95,741.6,-454.6,719.2
96,741.3,-444.4,520.8
97,737.8,-423.8,744
98,733.6,-413,719.2
99,729.7,-403,496
100,728.2,-392.6,545.6
101,726.6,-382.6,967.2
102,726.6,-381.2,719.2
103,727.5,-383.4,545.6
104,723.3,-390.2,992
105,721.8,-396.2,992
106,719.8,-402.4,967.2
107,716.2,-411.8,768.8
108,710.4,-429.8,992
109,709.7,-444.4,992
110,710.4,-461.6,967.2
111,710.5,-482.6,744
112,706.4,-511.4,768.8
113,706.3,-522.6,992
114,704.3,-529.6,992
115,705.6,-531.4,1041.6
116,707.8,-528.8,1463.2
117,707.2,-528.6,1240
118,705.7,-532.8,1240
119,707.5,-543.2,1264.8
120,710.7,-555.2,1512.8
121,712.5,-547.4,1736
122,710.3,-499,1736
123,713.7,-352.4,1760.8
124,721.9,-211.8,1934.4
125,717.2,-35.6,1438.4
126,721.9,207,1041.6
127,722.1,586.8,1488
128,723.7,780.8,1488
129,726.5,948,1463.2
130,729.3,1095.6,1264.8
131,733.4,1245.8,1512.8
132,736.8,1279,1736
133,742.7,1284,1686.4
134,748.6,1254.6,1314.4
135,748.6,1171.8,1984
136,750.5,1104,1959.2
137,749.8,1027.6,1711.2
138,751.2,927.6,1512.8
139,753.8,773,1760.8
140,752.6,688.4,1959.2
141,756.1,590,1711.2
142,756.5,446.8,1512.8
143,760.7,371.2,1736
144,761.5,297.2,1686.4
145,762.2,208.8,1289.6
146,764.2,77.6,1760.8
147,767.8,5.8,1959.2
148,767.7,-65,1711.2
149,765.9,-146.8,1512.8
150,766.6,-260.6,1736
151,767.2,-312,1711.2
152,766.9,-355,1488
153,767.5,-390.4,1463.2
154,770.8,-421.8,1240
155,768.6,-429.4,1215.2
156,767.3,-431.4,992
157,766.5,-432,1041.6
158,765.8,-427,1463.2
159,766.4,-421.8,1215.2
160,765.7,-412.8,967.2
161,768.6,-394,768.8
162,769.8,-384.4,967.2
163,769.1,-376.8,744
164,771.7,-372.8,744
165,773.5,-377.4,768.8
166,772.7,-385.4,967.2
167,773.8,-397.4,719.2
168,777.1,-411.2,496
169,774.6,-429.4,520.8
170,775.1,-436.4,719.2
171,776.6,-443.4,471.2
172,774.2,-452,272.8
